ticket_id,tps_id,hotel_id,channel_id,reseller_id
13904,339891,5963,517,541
13613,78722,8975,830,541
13619,112545,8423,830,541
13817,384499,7526,830,541
24857,328765,2648,156,114
22578,339557,846,16,69
50545,303560,7055,830,541
87908,440618,457,12,15
13799,339248,27476,1430,1380
13907,243143,2899,262,211
15599,339930,5960,517,541
59340,342020,457,12,15
57036,339958,818,28,61
14159,362453,7145,830,541
15569,427017,457,12,15
13682,206384,14235,830,541
50601,303547,6380,830,541
50545,303560,7979,830,541
13844,428408,457,12,15
23158,339754,5960,517,541
13619,112551,8423,830,541
86245,433468,457,12,15
13742,79508,42279,830,541
13619,112548,49055,5021,541
15599,339928,5717,830,541
13661,121256,47287,830,541
13658,78827,51832,5316,541
44260,314395,27476,1430,1380
15659,428300,5963,517,541
13439,77171,6140,830,541
14159,362453,44587,830,541
15635,340089,8975,830,541
13751,79529,6278,830,541
13421,77141,7169,830,541
15590,339914,5960,517,541
13799,339248,457,12,15
50545,303560,5963,517,541
15569,428494,8423,830,541
14036,339491,722,10,17
22886,339228,47287,830,541
14456,362998,7919,830,541
13754,79538,5963,517,541
22622,340123,457,12,15
57036,428547,818,28,61
14159,362453,7028,830,541
13799,428289,44587,830,541
15659,428303,5960,517,541
14504,407861,818,28,61
13982,428772,45492,830,541
13670,78863,30643,830,541
13769,79598,457,12,541
14495,285389,7655,830,541
15599,339930,818,28,61
14033,339545,2648,156,114
13916,339528,7472,830,541
14165,358174,7307,830,541
14228,425834,5960,517,541
86895,432781,5963,517,541
13718,79442,6608,830,541
14453,433496,6257,830,541
13652,78815,6353,830,541
22886,339228,7913,830,541
59633,363000,5960,517,541
73023,428437,457,12,15
13829,328815,818,28,61
13613,78722,9029,830,541
13685,339234,722,10,17
14432,303565,7730,830,541
70902,428570,457,12,15
17618,303487,7145,830,541
15635,340086,457,12,15
62148,428432,2899,262,211
13907,428500,722,10,17
14336,422865,7010,830,541
22886,339229,2899,262,211
50595,303549,6188,830,541
15590,428508,846,16,69
13829,454971,6215,830,541
14153,450859,33504,830,541
13739,112953,6134,830,541
50575,303501,7307,830,541
15590,339909,405,30,19
84605,421147,6824,830,541
13682,206386,5960,517,541
85252,429224,5960,517,541
14159,362453,6665,830,541
15569,428492,722,10,17
13421,77141,14486,830,541
61384,428275,8423,830,541
40352,428513,457,12,15
13928,428466,9029,830,541
13670,78860,7055,830,541
61426,337348,5963,517,541
14006,430195,846,16,69
13829,421835,405,30,19
23158,339754,846,16,69
50821,350157,6476,830,541
13916,339528,49055,5021,4341
50545,303560,7169,830,541
15566,339900,457,12,15
13916,339531,405,30,19
86245,433465,5963,517,541
50595,303549,7130,830,541
69480,429505,41899,830,541
14159,362453,7514,830,541
13817,384499,7079,830,541
