vt_group_no,transaction_id,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,sale_price,Distributor_price,commission
173693366277012,173693366277012003R,818,14495,285389,28,61,20,4.2,21
173616070473177,173616070473177001R,7307,13817,384498,830,541,48,12,25
173694214441458,173694214441458002R,6686,14258,437784,830,541,31,3.1,10
173625219493316,173625219493316003R,7100,14417,438105,830,541,27,2.7,10
173627855256848,173627855256848008R,722,13916,339531,10,17,66,19.8,30
173347299957938,173347299957938008R,5957,13829,421819,665,674,105,21,20
173430230015002,173430230015002001R,44587,13805,428900,830,541,30,7.5,25
173653472895962,173653472895962002R,6386,15599,428517,830,541,119,29.75,25
173663336029982,173663336029982001R,44063,50601,303546,830,541,51,5.1,10
173609073355881,173609073355881001R,846,13928,339734,16,69,155,38.75,25
173639275214752,173639275214752001R,846,23158,339751,16,69,75,18.75,25
173647698543602,173647698543602002R,722,13928,339737,10,17,150,45,30
173645086572191,173645086572191001R,846,13994,341218,16,69,229,45.8,20
173693738605283,173693738605283002R,38814,14258,437784,830,541,31,0.62,2
173634345443913,173634345443913004R,8423,22578,339549,830,541,99,27.72,28
173676562530331,173676562530331001R,722,15605,428535,10,17,130,39,30
171929992972993,171929992972993002R,6257,13916,339531,830,541,66,16.5,25
173098318725939,173098318725939002R,5957,59436,284478,665,674,55,13.75,25
173102511792525,173102511792525032R,722,23158,428479,10,17,66,19.8,30
173636512004737,173636512004737004R,11489,13826,272823,1218,1197,16,4,25
173097041238031,1730970412380319001R,722,15659,339274,10,17,30,9,30
172707447886691,172707447886691001R,44587,13685,339234,830,541,56,14,25
173615979053101,173615979053101001R,51421,52867,421038,830,541,13,1.3,10
173687874928498,173687874928498006R,722,57039,428560,10,17,194,58.2,30
173228104668692,173228104668692003R,722,13826,272823,10,17,16,4,25
173312951689397,173312951689397002R,7130,50601,303546,830,541,51,7.65,15
173583358617581,173583358617581004R,7913,14153,450862,830,541,29.7,1.49,5.02
173585177733574,173585177733574004R,7307,14159,362456,830,541,27.7,4.16,15.02
173610549823079,173610549823079003R,722,13928,339735,10,17,145,43.5,30
173692854224940,173692854224940003R,44063,14300,437730,830,541,8.5,1.28,15.06
172908809021728,172908809021728115R,722,13928,339737,10,17,150,45,30
173581927558880,173581927558880009R,8423,14153,450860,830,541,16.5,0.83,5.03
173582887936096,173582887936096009R,6809,14231,366791,830,541,12,1.5,12.5
173677258631769,173677258631769001R,457,13991,341163,12,15,69,13.8,20
173686579173152,173686579173152001R,6257,13685,339231,830,541,59,14.75,25
173191716246172,173191716246172003R,722,86245,433466,10,17,40,12,30
173591726923859,173591726923859001R,818,23722,303511,28,61,35,5.25,15
173686355146448,173686355146448003R,27476,13829,454971,1430,1380,115,86.25,75
173692730705613,173692730705613004R,8420,15659,428301,830,541,155,38.75,25
173696159641871,173696159641871001R,2648,13829,421823,156,114,115,13.55,11.78
173607686022626,173607686022626003R,7079,13817,384499,830,541,38,9.5,25
173616501369087,173616501369087001R,7700,50545,303560,830,541,42,4.2,10
173634345443913,173634345443913003R,8423,22578,339549,830,541,99,27.72,28
173639640636925,173639640636925004R,457,13916,339529,12,15,64,19.2,30
173643286680568,173643286680568003R,818,14165,358174,28,61,10,2.5,25
173662717214459,173662717214459002R,457,81707,430142,12,15,130,130,100
173682306589993,173682306589993001R,722,23158,428479,10,17,66,19.8,30
172964198936599,172964198936599002R,457,22886,339228,12,15,122,36.6,30
173685771657938,173685771657938004R,7187,16040,389628,830,541,30,6,20
173608918584155,173608918584155002R,457,81707,430139,12,15,135,135,100
173610110172318,173610110172318003R,6179,13796,314402,830,541,100,28,28
173619288188158,173619288188158001R,457,13805,428900,12,15,30,9,30
