vt_group_no,transaction_id,hotel_id,hotel_name,reseller_id,reseller_name,ticket_id,ticketpriceschedule_id,version,order_confirm_date,saleprice,purchaseprice,merchantcommission,distributorcommission,hgscommission,salepriceshouldbe,museumfeeshouldbe,merchantfeeshouldbe,hotelfeeshouldbe,hgsfeeshouldbe,modifiedshouldbe,pricinglevel
173731710140588,173731710140588002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13832,339500,1,2025-01-19 20:08:30,27,0,0,0,27,27,24.7,0,0,0,2024-11-19 05:40:00,clcsetting
173731710140588,173731710140588005R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13832,339500,1,2025-01-19 20:08:30,27,0,0,0,27,27,24.7,0,0,0,2024-11-19 05:40:00,clcsetting
173731710140588,173731710140588006R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13832,339500,1,2025-01-19 20:08:30,27,0,0,0,27,27,24.7,0,0,0,2024-11-19 05:40:00,clcsetting
173730900186325,173730900186325003R,6458,Travel Trade Group,541,Evan Evans,13829,421828,1,2025-01-19 17:50:55,95,0,0,23.75,38.75,95,0,0,23.75,71.25,2025-01-20 04:50:42,catalogsetting
173731779284003,173731779284003003R,7055,"St James Court, A Taj Hotel CC",541,Evan Evans,13829,421828,1,2025-01-19 20:32:02,95,0,0,23.75,38.75,95,0,0,23.75,71.25,2025-01-20 04:50:42,catalogsetting
173608909512303,173608909512303004R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421819,1.1,2025-01-05 15:02:15,105,0,0,0,105,105,0,0,0,72.5,2025-01-07 15:34:56,clcsetting
173608909512303,173608909512303003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421819,1.1,2025-01-05 15:02:15,105,0,0,0,105,105,0,0,0,72.5,2025-01-07 15:34:56,clcsetting
173732384659974,173732384659974002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421824,1,2025-01-19 22:07:45,105,0,0,0,72.5,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731958781238,173731958781238003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421824,1,2025-01-19 20:48:24,105,0,0,0,72.5,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731951827903,173731951827903014R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421824,1,2025-01-19 20:52:16,105,0,0,0,72.5,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173730744759309,173730744759309003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421824,1,2025-01-19 17:28:37,105,0,0,0,72.5,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731223626387,173731223626387004R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421824,1,2025-01-19 18:55:28,105,0,0,0,72.5,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731958781238,173731958781238004R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,421824,1,2025-01-19 20:48:24,105,0,0,0,72.5,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173727853968713,173727853968713002R,818,Headout,61,Headout,14165,457662,1,2025-01-19 09:22:20,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731028078861,173731028078861005R,818,Headout,61,Headout,14165,457662,1,2025-01-19 18:11:21,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173726509957503,173726509957503001R,818,Headout,61,Headout,14165,457662,1,2025-01-19 05:38:20,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173726946243141,173726946243141001R,818,Headout,61,Headout,14165,457662,1,2025-01-19 06:51:03,26,19.5,0,6.5,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
