ticket_id,reseller_id,commission
89076,686,15.00
89077,686,15.00
89078,686,15.00
89079,686,15.00
89081,686,15.00
89082,686,15.00
89083,686,15.00
89084,686,15.00
89085,686,15.00
89086,686,15.00
89089,686,15.00
89091,686,15.00
89093,686,15.00
89095,686,15.00
89096,686,15.00
89100,686,15.00
89104,686,15.00
89105,686,15.00
89108,686,15.00
89110,686,15.00
89112,686,15.00
89114,686,15.00
89116,686,15.00
89118,686,15.00
89120,686,15.00
89122,686,15.00
89124,686,15.00
89125,686,15.00
89127,686,15.00
89129,686,15.00
89131,686,15.00
89133,686,15.00
89134,686,15.00
89136,686,15.00
89138,686,15.00
89140,686,15.00
89142,686,15.00
89143,686,15.00
89145,686,15.00
89147,686,15.00
89149,686,15.00
89151,686,15.00
89153,686,15.00
89155,686,15.00
89157,686,15.00
89159,686,15.00
89161,686,15.00
89163,686,15.00
89165,686,15.00
89166,686,15.00
89168,686,15.00
89169,686,15.00
89172,686,15.00
89174,686,15.00
89175,686,15.00
89177,686,15.00
89179,686,15.00
89181,686,15.00
89183,686,15.00
89184,686,15.00
89185,686,15.00
89186,686,15.00
89187,686,15.00
89188,686,15.00
89189,686,15.00
89190,686,15.00
89191,686,15.00
89193,686,15.00
89194,686,15.00
89196,686,15.00
89198,686,15.00
89199,686,15.00
89202,686,15.00
89204,686,15.00
89206,686,15.00
89208,686,15.00
89210,686,15.00
89211,686,15.00
89212,686,15.00
89213,686,15.00
89214,686,15.00
89216,686,15.00
89217,686,15.00
89218,686,15.00
89220,686,15.00
89222,686,15.00
89224,686,15.00
89226,686,15.00
89228,686,15.00
89229,686,15.00
89230,686,15.00
89231,686,15.00
89232,686,15.00
89233,686,15.00
89234,686,15.00
89235,686,15.00
89236,686,15.00
89237,686,15.00
89238,686,15.00
89239,686,15.00
89240,686,15.00
89241,686,15.00
89242,686,15.00
89243,686,15.00
89244,686,15.00
89245,686,15.00
89246,686,15.00
89247,686,15.00
89249,686,15.00
89251,686,15.00
89253,686,15.00
89255,686,15.00
89256,686,15.00
89257,686,15.00
89259,686,15.00
89261,686,15.00
89263,686,15.00
89265,686,15.00
89266,686,15.00
89267,686,15.00
89268,686,15.00
89269,686,15.00
89270,686,15.00
89272,686,15.00
89275,686,15.00
89278,686,15.00
89281,686,15.00
89285,686,15.00
89286,686,15.00
89288,686,15.00
89290,686,15.00
89292,686,15.00
89294,686,15.00
89296,686,15.00
89298,686,15.00
89299,686,15.00
89300,686,15.00
89301,686,15.00
89302,686,15.00
89304,686,15.00
89306,686,15.00
89308,686,15.00
89310,686,15.00
89311,686,15.00
89314,686,15.00
89316,686,15.00
89318,686,15.00
89320,686,15.00
89322,686,15.00
89324,686,15.00
89326,686,15.00
89328,686,15.00
89330,686,15.00
89332,686,15.00
89335,686,15.00
89337,686,15.00
89338,686,15.00
89340,686,15.00
89342,686,15.00
89343,686,15.00
89344,686,15.00
89345,686,15.00
89346,686,15.00
89347,686,15.00
89348,686,15.00
89349,686,15.00
89350,686,15.00
89373,686,15.00
90311,686,15.00
