pt_order_id,vt_order_id,pt_transactionId,vt_transactionId,pt_version,vt_version,ptticketId,vt_ticketId,pt_tpsId,vt_tpsId,pt_actionPerformed,vt_actionPeformed,pt_used,vt_used,pt_redeemDate,vt_redeemDate,pt_refunded,vt_refunded,status
173857357827835,173857357827835,173857357827835003R,173857357827835003R,1.1,1.1,35021,35021,184431,184431,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:06:22,0,0,0
173857477692469,173857477692469,173857477692469001R,173857477692469001R,1.2,1.1,90350,90350,458591,458591,"0, SCAN_TB","0, SCAN_TB",1,1,2025-02-03 09:26:23,2025-02-03 09:26:21,0,0,0
173857372700488,173857372700488,173857372700488002R,173857372700488002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:08:56,0,0,0
173857397480907,173857397480907,173857397480907002R,173857397480907002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:13:00,0,0,0
173857426828135,173857426828135,173857426828135001R,173857426828135001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:18:51,0,0,0
171508210192046,171508210192046,171508210192046001R,171508210192046001R,1.1,1,21462,21462,307909,307909,"0, SCAN_TB",0,1,1,2024-05-07 11:41:41,2024-05-07 11:41:41,0,0,0
171679226822317,171679226822317,171679226822317001R,171679226822317001R,1.1,1,46381,46381,307534,307534,"0, SCAN_TB",0,1,1,2024-05-27 06:44:28,2024-05-27 06:44:28,0,0,0
173857322189587,173857322189587,173857322189587002R,173857322189587002R,2,2,35021,35021,184431,184431,"0, OAPI37_RFN","0, OAPI37_RFN",1,1,1970-01-01 00:00:01,2025-02-03 09:00:27,2,2,0
173857397480907,173857397480907,173857397480907001R,173857397480907001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:13:00,0,0,0
173857428206462,173857428206462,173857428206462001R,173857428206462001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:19:06,0,0,0
171274203098347,171274203098347,171274203098347001R,171274203098347001R,3.1,3.1,46443,46443,351041,351041,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-04-10 12:41:01,2024-04-10 09:40:30,0,0,0
172302325110438,172302325110438,172302325110438002R,172302325110438002R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:26,2024-08-07 09:37:22,0,0,0
173857296912798,173857296912798,173857296912798002R,173857296912798002R,1.1,1.1,60021,60021,287685,287685,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 08:56:15,0,0,0
173857357827835,173857357827835,173857357827835004R,173857357827835004R,1.1,1.1,35021,35021,184431,184431,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:06:22,0,0,0
173857281492837,173857281492837,173857281492837001R,173857281492837001R,1.1,1.1,60021,60021,287685,287685,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 08:53:40,0,0,0
171058269913418,171058269913418,171058269913418002R,171058269913418002R,2.1,2.1,70559,70559,367683,367683,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-03-16 12:52:00,2024-03-16 09:51:39,0,0,0
171507044904083,171507044904083,171507044904083001R,171507044904083001R,1.1,1,61299,61299,294822,294822,"0, SCAN_TB",0,1,1,2024-05-07 08:27:29,2024-05-07 08:27:29,0,0,0
172336175821145,172336175821145,172336175821145003R,172336175821145003R,2,2,2618,2618,351053,351053,"0, CSS_ACT","0, CSS_ACT",1,1,2024-08-11 10:37:05,2024-08-11 07:36:59,0,0,0
171265076356703,171265076356703,171265076356703002R,171265076356703002R,2.2,2.1,70559,70559,367683,367683,"0, CSS_ACT, SCAN_TB, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-04-09 09:23:40,2024-04-09 08:19:23,0,0,0
171507190907288,171507190907288,171507190907288002R,171507190907288002R,1.2,1,46381,46381,307534,307534,"0, SCAN_TB, SCAN_TB",0,1,1,2024-05-07 08:51:49,2024-05-07 08:51:49,0,0,0
172302291124807,172302291124807,172302291124807005R,172302291124807005R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:20,2024-08-07 09:32:29,0,0,0
172520080288550,172520080288550,172520080288550002R,172520080288550002R,2.1,2.1,18729,18729,401169,401169,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-09-01 17:26:58,2024-09-01 14:26:42,0,0,0
171507494933754,171507494933754,171507494933754001R,171507494933754001R,1.1,1,21462,21462,307909,307909,"0, SCAN_TB",0,1,1,2024-05-07 09:42:29,2024-05-07 09:42:29,0,0,0
172273503169461,172273503169461,172273503169461001R,172273503169461001R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-08-30 08:25:12,2024-08-04 01:30:38,0,0,0
172743742135451,172743742135451,172743742135451002R,172743742135451002R,3.1,3.1,2614,2614,355654,355654,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-09-27 14:44:41,2024-09-27 11:43:43,0,0,0
173262014710929,173262014710929,173262014710929005R,173262014710929005R,1.1,1.1,60758,60758,289772,289772,"0, TP_SCAN_OWN_3_1","0, TP_SCAN_OWN_3_1",1,1,2024-11-26 14:23:24,2024-11-26 11:23:18,0,0,0
171704851279472,171704851279472,171704851279472003R,171704851279472003R,3.1,3.1,2614,2614,355654,355654,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-05-30 09:02:44,2024-05-30 06:02:37,0,0,0
173857456392518,173857456392518,173857456392518002R,173857456392518002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:22:48,0,0,0
171673476920199,171673476920199,171673476920199002R,171673476920199002R,1.2,1.1,46385,46385,234219,234219,"0, SCAN_TB, SCAN_TB","0, SCAN_TB",1,1,2024-05-26 14:46:09,2024-05-26 14:46:09,0,0,0
172336175821145,172336175821145,172336175821145002R,172336175821145002R,2,2,2618,2618,351053,351053,"0, CSS_ACT","0, CSS_ACT",1,1,2024-08-11 10:37:05,2024-08-11 07:36:59,0,0,0
173857322189587,173857322189587,173857322189587004R,173857322189587004R,2,2,35021,35021,184431,184431,"0, OAPI37_RFN","0, OAPI37_RFN",1,1,1970-01-01 00:00:01,2025-02-03 09:00:27,1,1,0
