pt_order_id,vt_order_id,pt_transactionId,vt_transactionId,pt_version,vt_version,ptticketId,vt_ticketId,pt_tpsId,vt_tpsId,pt_actionPerformed,vt_actionPeformed,pt_used,vt_used,pt_redeemDate,vt_redeemDate,pt_refunded,vt_refunded,row_type,status
173322903135537,173322903135537,173322903135537130R,173322903135537130R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,2,0
173322903135537,173322903135537,173322903135537150R,173322903135537150R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,2,0
173322903135537,173322903135537,173322903135537175R,173322903135537175R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,4,0
173322903135537,173322903135537,173322903135537155R,173322903135537155R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537141R,173322903135537141R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537167R,173322903135537167R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,4,0
173322903135537,173322903135537,173322903135537175R,173322903135537175R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,17,0
173322903135537,173322903135537,173322903135537030R,173322903135537030R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537149R,173322903135537149R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537035R,173322903135537035R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537129R,173322903135537129R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,1,0
173322903135537,173322903135537,173322903135537143R,173322903135537143R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537032R,173322903135537032R,5,2,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO,OAPI35_RFN","0,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,2,0
173322903135537,173322903135537,173322903135537156R,173322903135537156R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,1,0
173322903135537,173322903135537,173322903135537173R,173322903135537173R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,1,0
173322903135537,173322903135537,173322903135537172R,173322903135537172R,6,3,39732,39732,419659,419659,"0, ADMND_INFO, ADMND_INFO, OAPI35_RFN,OAPI35_RFN","0, OAPI35_RFN,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,1,4,0
173322903135537,173322903135537,173322903135537146R,173322903135537146R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,4,0
173322903135537,173322903135537,173322903135537119R,173322903135537119R,6,6,39732,39732,419659,419659,"0, ADMND_COR,OAPI35_RFN","0, ADMND_COR,OAPI35_RFN",0,0,1970-01-01 00:00:01,2024-12-03 12:33:17,2,0,2,0
