vt_group_no,transaction_id,order_confirm_date,distributorcommission,hotelfeeshouldbe,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,status
173541981212406,173541981212406011R,2025-01-17,0,111,5960,15569,427017,517,541,0
173265003124759,173265003124759026R,2025-01-20,0,111,5960,15569,427017,517,541,0
173582238775781,173582238775781001R,2025-01-06,0,111,5960,15569,427017,517,541,0
173265003124759,173265003124759001R,2025-01-20,0,111,5960,15569,427017,517,541,0
173687129396002,173687129396002002R,2025-01-19,0,111,5960,15569,427017,517,541,0
173649829686860,173649829686860012R,2025-01-10,0,111,5963,15569,427017,517,541,0
173336141485107,173336141485107006R,2025-01-13,0,111,5960,15569,427017,517,541,0
173582238775781,173582238775781002R,2025-01-06,0,111,5960,15569,427017,517,541,0
173720757422788,173720757422788002R,2025-01-19,0,111,5963,15569,427017,517,541,0
173238444832542,173238444832542001R,2025-01-01,0,111,5960,13805,428903,517,541,0
173238444832542,173238444832542005R,2025-01-01,0,111,5960,13805,428903,517,541,0
173238444832542,173238444832542002R,2025-01-01,0,111,5960,13805,428903,517,541,0
173238444832542,173238444832542006R,2025-01-01,0,111,5960,13805,428903,517,541,0
173564124794118,173564124794118004R,2025-01-02,0,2.4,51421,14447,303519,830,541,0
172487356149970,172487356149970002R,2025-01-11,375,111,5960,15038,403838,517,541,0
172487356149970,172487356149970004R,2025-01-11,375,111,5960,15038,403838,517,541,0
172487356149970,172487356149970001R,2025-01-11,375,111,5960,15038,403838,517,541,0
172487356149970,172487356149970003R,2025-01-11,375,111,5960,15038,403838,517,541,0
173375488022690,173375488022690001R,2025-01-04,45,111,6458,14015,375135,830,541,0
173375488022690,173375488022690003R,2025-01-04,45,111,6458,14015,375135,830,541,0
173375488022690,173375488022690002R,2025-01-04,45,111,6458,14015,375135,830,541,0
173500738738137,173500738738137003R,2025-01-18,0,111,5960,84094,429222,517,541,0
173621153789239,173621153789239011R,2025-01-12,0,111,5960,13829,421818,517,541,0
173632103406837,173632103406837002R,2025-01-26,0,111,5960,13829,421818,517,541,0
173634594825840,173634594825840001R,2025-01-13,0,111,5960,13829,421818,517,541,0
173645722106805,173645722106805001R,2025-01-12,0,111,5960,13829,421818,517,541,0
173583093587683,173583093587683007R,2025-01-19,0,111,5960,13829,421818,517,541,0
173740772503128,173740772503128002R,2025-01-28,0,111,5960,13829,421818,517,541,0
173124955290385,173124955290385001R,2025-01-03,0,111,5960,13829,421818,517,541,0
