vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
172951360193028	172951360193028005R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
172951360193028	172951360193028006R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
172951360193028	172951360193028006R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
172951360193028	172951360193028006R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
172951360193028	172951360193028006R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
172951360193028	172951360193028006R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173254699826737	173254699826737001R	6458	830	61395	414992	1.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173254699826737	173254699826737001R	6458	830	61395	414992	1.1	2	0.00	99.00	0.00	0.00	1	1
173254699826737	173254699826737001R	6458	830	61395	414992	1.1	3	22.77	99.00	25.00	24.75	1	1
173254699826737	173254699826737001R	6458	830	61395	414992	1.1	4	76.23	99.00	75.00	74.25	1	1
173254699826737	173254699826737001R	6458	830	61395	414992	1.1	17	0.00	99.00	No_Setting_found	0.00	1	1
173254699826737	173254699826737002R	6458	830	61395	414992	1.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173254699826737	173254699826737002R	6458	830	61395	414992	1.1	2	0.00	99.00	0.00	0.00	1	1
173254699826737	173254699826737002R	6458	830	61395	414992	1.1	3	22.77	99.00	25.00	24.75	1	1
173254699826737	173254699826737002R	6458	830	61395	414992	1.1	4	76.23	99.00	75.00	74.25	1	1
173254699826737	173254699826737002R	6458	830	61395	414992	1.1	17	0.00	99.00	No_Setting_found	0.00	1	1
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173047280924990	173047280924990001R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173047280924990	173047280924990001R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
173047280924990	173047280924990001R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
173047280924990	173047280924990001R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
173047280924990	173047280924990001R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
173047280924990	173047280924990002R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173047280924990	173047280924990002R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
173047280924990	173047280924990002R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
173047280924990	173047280924990002R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
173047280924990	173047280924990002R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
