primary_key,key_value,column_name,old_value,new_value,modified_at
id,172175,totalCommission,3.3,15.98,2024-12-18 04:16:02
id,172175,totalNetCommission,16.48,15.98,2024-12-18 04:16:02
id,177433,agefrom,19,12,2024-12-18 04:20:02
id,177433,ageto,99,30,2024-12-18 04:20:02
id,177433,default_listing,1,0,2024-12-18 04:20:02
id,177433,deleted,1,0,2024-12-18 04:20:02
id,177433,timezone,+01.00,+0,2024-12-18 04:20:02
id,177435,ageto,18,17,2024-12-18 04:20:02
id,177435,deleted,1,0,2024-12-18 04:20:02
id,177435,max_qty,20,3,2024-12-18 04:20:02
id,177435,parent_ticket_type,Standard,Custom,2024-12-18 04:20:02
id,177435,ticketType,3,10,2024-12-18 04:20:02
id,177435,ticket_type_label,Child,Reduced - château & gardens,2024-12-18 04:20:02
id,177435,timezone,+01.00,+0,2024-12-18 04:20:02
id,177437,agefrom,18,12,2024-12-18 04:20:02
id,177437,ageto,99,30,2024-12-18 04:20:02
id,177443,deleted,1,0,2024-12-18 04:20:02
id,177443,max_qty,19,13,2024-12-18 04:20:02
id,177443,parent_ticket_type,Custom,Individual,2024-12-18 04:20:02
id,177443,ticketType,10,5,2024-12-18 04:20:02
id,177443,ticket_type_label,Disabled visitor - château & gardens,Disabled,2024-12-18 04:20:02
id,177443,timezone,+01.00,+0,2024-12-18 04:20:02
id,177623,calculated_hgs_commission,0.82,1,2024-12-17 05:22:03
id,177623,calculated_hotel_commission,0.82,1,2024-12-17 05:22:03
id,177623,default_price,10.26,12.53,2024-12-17 05:22:03
id,177623,hotelNetPrice,0.82,1,2024-12-17 05:22:03
id,177623,museumCommission,9.44,11.53,2024-12-17 05:22:03
id,177623,museumNetPrice,9.44,11.53,2024-12-17 05:22:03
id,177623,newPrice,10.26,12.53,2024-12-17 05:22:03
id,177623,original_price,10.26,12.53,2024-12-17 05:22:03
id,177623,pricetext,10.26,12.53,2024-12-17 05:22:03
id,177623,smartbox_price,9.52,11.63,2024-12-17 05:22:03
id,177623,subtotal,0.82,1,2024-12-17 05:22:03
id,177623,ticket_net_price,10.26,12.53,2024-12-17 05:22:03
id,177623,timezone,+07.00,+0,2024-12-17 05:22:03
id,177623,totalCommission,0.82,12.53,2024-12-17 05:22:03
id,177623,totalNetCommission,10.26,12.53,2024-12-17 05:22:03
id,177625,calculated_hgs_commission,1.34,1.56,2024-12-17 05:22:03
id,177625,calculated_hotel_commission,1.34,1.56,2024-12-17 05:22:03
id,177625,default_price,16.68,19.5,2024-12-17 05:22:03
id,177625,hotelNetPrice,1.34,1.56,2024-12-17 05:22:03
id,177625,museumCommission,15.34,17.94,2024-12-17 05:22:03
id,177625,museumNetPrice,15.34,17.94,2024-12-17 05:22:03
id,177625,newPrice,16.68,19.5,2024-12-17 05:22:03
id,177625,original_price,16.68,19.5,2024-12-17 05:22:03
id,177625,pricetext,16.68,19.50,2024-12-17 05:22:03
id,177625,smartbox_price,15.48,18.1,2024-12-17 05:22:03
id,177625,subtotal,1.34,1.56,2024-12-17 05:22:03
id,177625,ticket_net_price,16.68,19.5,2024-12-17 05:22:03
id,177625,timezone,+07.00,+0,2024-12-17 05:22:03
