mec_id	cat_id	hotel_id	museum_id	product_type	company	rezgo_ticket_id	rezgo_id	rezgo_key	tourcms_tour_id	tourcms_channel_id	tax_value	service_cost	latest_sold_date	shortDesc	eventImage	ticketwithdifferentpricing	saveamount	ticketPrice	pricetext	ticket_net_price	newPrice	totalticketPrice	new_discount_price	is_reservation	agefrom	ageto	ticketType	is_combi_ticket_allowed	is_booking_combi_ticket_allowed	start_date	end_date	extra_text_field	deleted	is_updated	third_party_id	third_party_ticket_id	third_party_parameters
3563	136	347	2093	0	City Sightseeing Sweden	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Gothenburg 24hr Bus	img_1612768163_Gothenburg-03_preview_P_242_8b68c4c4-8941-4d0d-a611-62131a1cff0c.jpeg	1	0.00	29.00	29.00	29.00	29.00	29.00	29.00	0	16	99	Adult	0	0	1708995846	1733867940	0	0	0	2	PT400037	{"third_party_account":"sweden","iticket_product_id":"PT400037","third_party_code":"ITICKET2"}
3565	7	347	2093	0	City Sightseeing Sweden	0	0	lll	0	0	0.00	0	2021-06-19	Boat Tour + Hop-On Hop-Off Bus Stockholm Bus + Boat - 24 Hours	img_1612768384_product-1_P_3246_e75315ea-8db5-4aea-b365-f1bac462cd32.jpeg	1	0.00	51.00	51.00	51.00	51.00	51.00	51.00	0	16	99	Adult	0	0	1707872645	1735682340	0	0	0	2	PT400039	{"third_party_account":"sweden","iticket_product_id":"PT400039","third_party_code":"ITICKET2"}
3675	136	347	2201	0	City Sightseeing Brighton	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Brighton 1 Day	img_1612768763_Brighton-02_P_249_f24312e4-f1d1-4433-9e5_P_249_655e9914-839c-42a9-863e-53638e93dc68.jpeg	1	0.00	10.00	10.00	10.00	10.00	10.00	10.00	0	16	64	Adult	0	0	1710378858	1730066340	0	0	0	5	427	{"third_party_code":"CS","third_party_account":"citysightseeing","supplier_id":"123","cs_product_id":"249","cs_option_id":"427","cs_product_type":"HOP ON-HOP OFF","city":"BSH","country":"GB"}
3687	136	347	2201	0	City Sightseeing Brighton	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Brighton 2 Days	img_1612785675_Brighton-02_P_249_f24312e4-f1d1-4433-9e5_P_249_655e9914-839c-42a9-863e-53638e93dc68.jpeg	1	0.00	15.00	15.00	15.00	15.00	15.00	15.00	0	16	59	Adult	0	0	1710378977	1729979940	0	0	0	5	2937	{"third_party_code":"CS","third_party_account":"citysightseeing","supplier_id":"123","cs_product_id":"249","cs_option_id":"2937","cs_product_type":"HOP ON-HOP OFF","city":"BSH","country":"GB"}
5008	7	347	2129	0	City Sightseeing Benalmadena	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Benalmadena Benalmadena Experience	img_1612786195_Generic4_P_205_062b9c14-6cdd-460e-8c26-265e32bdeb69.jpeg	1	0.00	29.99	29.99	29.99	29.99	29.99	29.99	0	13	99	Adult	0	0	1598911200	1619819940	0	0	0	5	3990	{"third_party_code":"CS","third_party_account":"citysightseeing","supplier_id":"108","cs_product_id":205,"cs_option_id":3990,"cs_product_type":"HOP ON-HOP OFF","city":"BMD","country":"ES"}
5779	17	347	43	0	Blue Boat Company	0	0	lll	0	0	9.00	0	2021-06-19	Blue Boat Company - Amsterdam Light Festival - Dock Hard Rock Cafe - EIGEN WEBSITES	img_1637588713_1637588729__alf17_arjanbroek.jpg	1	0.00	25.00	25.00	22.94	25.00	25.00	25.00	0	13	99	Adult	0	0	1633907520	1737323940	0	0	0	0	0	
8090	7	347	2069	2	City Sightseeing Malaga	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Malaga - Iconic Ticket 24-hour ticket	img_1612768001_Malaga-Bus-01_P_230_90293ad9-6059-49b8-b_P_230_3f7dc65a-f975-4717-bf07-ea68f88574b2.jpeg	1	0.00	25.00	25.00	25.00	25.00	25.00	25.00	0	13	99	Adult	0	0	1680307200	1735689540	0	0	0	5	364	{"third_party_code":"CS","third_party_account":"citysightseeing","supplier_id":"114","cs_product_id":230,"cs_option_id":364,"cs_product_type":"HOP ON-HOP OFF","city":"AGP","country":"ES"}
38836	5	347	33110	0	Koepelkathedraal Haarlem	0	0	lll	0	0	9.00	0	2021-06-19	KoepelKathedraal Haarlem - Tour (Incl. entrance)	img_1631350239_1631350675__a_yhbpg.jpeg	1	0.00	12.50	12.50	11.47	12.50	12.50	12.50	0	13	99	Adult	0	0	1631343000	9999999999	0	0	0	9	1157	{"third_party_code":"prioapis_native","third_party_account":"voordemensen_1","tp_user":"1","third_party_ticket_id":"1157"}
40948	7	347	2045	0	City Sightseeing Corfu	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Bus Corfu Achilleion Line Achilleion Ticket		1	0.00	29.00	29.00	29.00	29.00	29.00	29.00	0	15	99	Adult	0	0	1679290920	1730411940	0	0	0	5	8948	{"third_party_code":"CS","third_party_account":"citysightseeing","supplier_id":"192","cs_product_id":3257,"cs_option_id":8948,"cs_product_type":"HOP ON-HOP OFF","city":"CFU","country":"GR"}
40946	7	347	2045	0	City Sightseeing Corfu	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Corfu All Lines All Lines Ticket		1	0.00	35.00	35.00	35.00	35.00	35.00	35.00	0	15	99	Adult	0	0	1679290800	1730411940	0	0	0	5	8949	{"third_party_code":"CS","third_party_account":"citysightseeing","supplier_id":"192","cs_product_id":3418,"cs_option_id":8949,"cs_product_type":"HOP ON-HOP OFF","city":"CFU","country":"GR"}
